Date Decided,Citation,Appellants,Respondents,Case Note
allowed the termination of pregnancy. The Court had taken the Medical report into
consideration which was to the following effect : Å“There is thus a clear diagnosis of
the condition of the single live fetus which is said to have bialateral renal agenesis
wheich means the fetus has no kidneys and anhydramnios which means that there is an
absence of amniotic fluid in the womb. Further, there is a clear observation that there is
a risk of intrauterine fetal death, i.e. death within womb and there is no chance of a
long term post natal survival.

What is important is that there is no curative treatment available at present for bilateral
renal agenesis.

The Medical Board has opined that thecondition of the fetus is incompatible with extra-
uterine life, i.e. outside the womb because prolonged absence of amniotic fluid results
in pulmonary hypoplasia leading to severe 4 respiratory insufficiency at birth.
From the point of view of the petitioner the report has observed risk to the mother since
continuation of pregnancy can endanger her physical and mental health.

Mr. A.K. Panda, learned senior counsel appearing for the Union of India has drawn our
attention to two other orders, one passed in Savita Sachin Patil & Ors. vs. Union of
India and Ors. [WP (C)No.121 of 2017 decided on 28.02.2017] and another in Sheetal
Shankar Salvi & Anr. vs. Union of India & Ors. [W.P. No.174 of 2017 decided on
27.3.2017]. In the case of Savita Sachin Patil, theCourt declined to grant permission by
holding, thus : Å“As regards the prognosis, the said medical report clearly does not and
possibly cannot, observe that this particular fetus will have severe mental and physical
challenges. It states that the Å“baby is likely to have mental and physical challenges.Â
In the earlier part of the said medical report, there is no observation made by the
aforestated Medical Board that every baby with Down Syndromehas low intelligence,
but it was observed that Å“intelligence among people with Down Syndrome is variable
and a large proportion may have an intelligence Quotient of less than 50 (severe mental
retardation)Â.
In any case, it is not possible to discern the danger to the life of petitioner no.1 in case
she is not allowed to terminate her pregnancy.




      08-08-2022 (Page 4 of 5)     www.manupatra.com           OP Jindal Global UniversityIn the facts and circumstances of the case, it is not possible for us to grant permission
to petitioner no.1 to terminate the life of the fetus.

In view of the above, as it presently advised, we decline the prayer (a) of the
petitioners for directing the respondents to allow Petitioner No.1 to undergo medical
termination of the pregnancy.Â In Sheetal Shankar Salvi, after perusing the report, the
Court observed that there is no danger to mother's life and the liklihood that the baby
may be born alive and survive for variable period of time, and, therefore, it would not
be appropriate to allow the petitioner No.1 to undergo medical termination of her
pregnancy.
The orders which have been referred to by Mr. Panda, in our considered opinion, rest on
their own facts. Frankly speaking, cases of this nature have to rest on their own facts
because it shall depend upon the nature of the report of the Medical Board and also the
requisite consent as engrafted under the Medical Termination of Pregnancy Act, 1971.

In the instant case, as the report of the Medical Board, whichwe have produced, in
entirety, clearly reveals that the mother shall suffer mental injury if the pregnancy is
continued and there will be multiple problems if the child is born alive. That apart, the
Medical Board has categorically arrived at a conclusion thatthe in a special case of this
nature, the pregnancy should be allowed to be terminated after 20 weeks.

In the case of Suchita Srivastava & Anr. vs. Chandigarh Administration [(2009) 9 SCC
1), the Court has expressed the view that the right of a woman to have reproductive
choice is an insegregable part of her personal liberty, as envisaged under Article 21 of
the Constitution. She has a sacrosanct right to have her bodily integrity. The case at
hand, as we find, unless the pregnancy is allowed to be terminated, the life of the
mother as well as that of the baby to be born will be in great danger. Such a situation
cannot be countenanced in Court.
Regard being had to the aforesaid and keeping in view the report of the Medical Board,
we are inclined to allow the prayer and direct medical termination of pregnancy of the
1st petitioner at the IPGMER-SSKM Hospital.The termination procedure to be carried
out forthwith by the competent authorities of the IPGMER-SSKM Kolkata. For the sake of
clarity, we may hasten to add that Mr. Gonsalves, upon obtaining instructions, has
agreed for the said hospital. When we say, 'carried out forthwith' it depends when the
1st petitioner and her husband go to the hospital, it shall be conducted without any
delay.

Accordingly, the Writ Petition is disposed of.


                      © Manupatra Information Solutions Pvt. Ltd.














      08-08-2022 (Page 5 of 5)     www.manupatra.com           OP Jindal Global University",COULD NOT FIND CASE NOTE
" 03.07.2017

                   ",MANU/SC/0813/2017," Sarmishtha Chakrabortty and Ors.
                                           "," Union of India (UOI) Secretary and Ors.

",COULD NOT FIND CASE NOTE
" 13.11.2017

                                ",MANU/TN/3776/2017," Senthil
                                       "," State

","Criminal - Conviction - Section 366 of Indian Penal Code, 1860 (IPC), Section
9 of Child Marriage Prohibition Act, 2006 and Section 4 of Protection of
Children from Sexual Offences Act, 2012 - Appeal filed against conviction -
Whether prosecution proved charges against accused beyond all reasonable
doubt - Held, victim went voluntarily with accused - Bone age of victim was
likely to be about 15 years and below 17 years - Prosecution was able to
prove that victim girl was aged about 15 years - If act of physical relationship
was a consensual than under provisions of Act of 2012 it would amount to
penetrative sexual assault - Accused was liable to be punished under Section
4 of Act - Ingredients of Section 366 of IPC have also been made out - Trial
Court was right in convicting accused - Appeal dismissed. [11],[21] and[22]

                                   "
" 07.05.2020

                           ",MANU/GJ/0772/2020," Shahida Khatoon
                                        "," State of Gujarat

","Civil - Termination of pregnancy - Writ Petition filed for direction permitting
Petitioner to get her pregnancy terminated - Whether Petitioner made out
case for grant of permission to get her pregnancy terminated - Held, victim
aged about 14 years was residing with her sister and she was legal guardian
and complainant - There was consent of caretaker of victim - Caretaker of
victim has given consent for termination of pregnancy of victim - Considering
consent of caretaker and age of victim of rape case pregnancy of victim was
ordered to be terminated with due care - Petition allowed. [6], [8], [12]

                                      "
" 28.03.2003

                               ",MANU/SC/0260/2003," Sharda
                                       "," Dharmpal

","Hindu Marriage Act, 1955 - Sections 5 (ii) (b), 12 (1) (b) and 13 (1) (iii)--
Code of Civil Procedure, 1908--Section 151, Order XXXII, Rule 15--Indian
Lunacy Act, 1912--Section 41--Constitution of India--Article 21--Matrimonial
dispute--Petition by husband for divorce on ground of unsoundness of mind of
wife--Husband also filing application for direction for medical examination of
wife for her unsoundness of mind--Whether matrimonial court has jurisdiction
to direct wife to undergo medical examination for unsoundness of mind?--
Held, ""yes""--Whether such direction violates personal liberty under Article
21?--Held, ""no""--However, Court should exercise such power if applicant has
strong prima facie case--And there is sufficient material before Court--If
despite order, spouse refuses to submit to medical examination--Court
entitled to draw adverse inference against spouse.

The Court after elaborate discussion concluded :

(1) A matrimonial court has the power to order a person to undergo medical
test.

(2) Passing of such an order by the Court would not be in violation of the
right to personal liberty under Article 21 of the Indian Constitution.

(3) However, the Court should exercise such a power if the applicant has a
strong prima facie Â case and there is sufficient material before the Court. If
despite the order of the Court, the respondent refuses to submit himself to
medical examination, the Court will be entitled to draw an adverse inference
against him.

In certain cases, medical examination by the experts in the field may not only
be found to be leading to truth of the matter but may also lead to removal of
misunderstanding between the parties. It may bring the parties to terms.




     08-08-2022 (Page 1 of 24)  www.manupatra.com        OP Jindal Global UniversityIn matrimonial disputes, the Court has also a conciliatory role to play--even
for the said purpose it may require expert advice.

Under Section 75 (e) of Code of Civil Procedure and Order XXVI, Rule 10A, the
civil court has the requisite power to issue a direction to hold a scientific,
technical or expert investigation.

The question as to whether a person is mentally ill or not although may be a
subject-matter of litigation, the Court having regard to the provisions
contained in Order XXXII, Rule 15 of the Code of Civil Procedure, Section 41
of the Indian Lunacy Act as also for the purpose of judging his competence to
examine as a witness may issue requisite directions. It is, therefore, not
correct to contend that for the aforementioned purposes, the Court has no
power at all. The prime concern of the Court is to find out as to whether a
person who is said to be mentally ill could defend himself properly or not.
Determination of such an issue although may have some relevance with the
determination of the issue in the lis, nonetheless, the Court cannot be said to
be wholly powerless in this behalf. Furthermore, it is one thing to say that a
person would be subjected to test which would invade his right of privacy and
may in some case amount to battery ; but it is another thing to say that a
party may be asked to submit himself to a psychiatrist or a psychoanalyst so
as to enable the Court to arrive at a just conclusion. Whether the party to the
examined by a properly qualified psychiatrist. For the said purpose, it may not
be necessary to submit himself to any blood test or other pathological tests.

If the Court for the purpose envisaged under Order XXXII, Rule 15 of Code of
Civil Procedure or Section 41 of the Indian Lunacy Act can do it suo motu,
there is no reason why it cannot do so on an application filed by a party to the
marriage.

Even otherwise, the Court may issue an appropriate direction so as to satisfy
himself as to whether apart from treatment, he requires adequate protection
inter alia by way of legal aid so that he may not be subject to an unjust order
because of his incapacity. Keeping in view the fact that in a case of mental
illness, the Court has adequate power to examine the party or get him
examined by a qualified doctor, therefore, it was clear that in an appropriate
case the Court may take recourse to such a procedure even at the instance of
the party to the lis.

Furthermore, the Court must be held to have the requisite power even under
Section 151 of the Code of Civil Procedure to issue such direction either suo
motu or otherwise which, according to him, would lead to the truth.

In all such matrimonial cases where divorce is sought, say on the ground of
impotency, schizophrenia.... etc. normally without there being medical
examination, it would be difficult to arrive at a conclusion as to whether the
allegation made by his spouse against the other spouse seeking divorce on
such a ground, is correct or not. In order to substantiate such allegation, the
petitioner would always insist on medical examination. If respondent avoids
such medical examination on the ground that it violates his/her right to




     08-08-2022 (Page 2 of 24) www.manupatra.com        OP Jindal Global Universityprivacy or for a matter right to personal liberty as enshrined under Article 21
of the Constitution of India, then it may in most of such cases become
impossible to arrive at a conclusion. It may render the very grounds on which
divorce is permissible nugatory. Therefore, when there is no right to privacy
specifically conferred by Article 21 of the Constitution of India and with the
extensive interpretation of the phrase ""personal liberty"" this right has been
read into Article 21, it cannot be treated as absolute right. What is
emphasized is that some limitations on this right have to be imposed and
particularly where two competing interests clash. In matters of aforesaid
nature, where the Legislature has conferred a right upon his spouse to seek
divorce on such grounds, it would be the right of that spouse which comes in
conflict with the so-called right to privacy of the respondent. Thus, the Court
has to reconcile these competing interests by balancing the interests
involved.

If for arriving at the satisfaction of the Court and to protect the right of a
party to the lis who may otherwise be found to be incapable of protecting his
own interest, the Court passes an appropriate order, the question of such
action being violative of Article 21 of the Constitution of India would not
arise. The Court having regard to Article 21 of the Constitution of India must
also see to it that the right of a person to defend himself must be adequately
protected.
                                    "
" 19.09.2014

                     ",MANU/MH/1743/2014," Shivanand Vassudev Salgaocar
                                           "," Dattaraj Vassudev Salgaoncar

",COULD NOT FIND CASE NOTE
" 25.04.2003
                          ",MANU/DE/1571/2003," Shobha and Ors.
                                       "," Govt. of Nct of Delhi and Ors.

","Civil - Tubectomy Operation - Damages - Present writ petitions have been
filed claiming damages for seer negligence on part of respondent as petitioner
had undergone tubectomy operation and was assured that it was a successful
operation and she will not bear any more children but in vain - Whether
respondents were negligent in performing their job which led to birth of
unwanted child? - Held, there was not any negligence on part of petitioner as
there was no undue delay in approaching hospital authorities - Petitioner and
her husband being poor and are not able to maintain so many children should
not be a reason to deprive fifth child because of financial crunch of petitioner
and her husband - Proper upbringing of this child and giving her adequate
education would become responsibility of State in these circumstances as
because of respondents negligence this child is born - Keeping in view
economic    and   social  background     of  petitioner   and   other   relevant
sum of certain amount which is worked out as respondent shall pay a sum of
certain amount per year for maintenance of this child till she attains age of
five years - On attaining age of five years, respondent shall admit her in a
Government school - She would be provided free education- She would also
be provided two sets each of summer and winter uniform every two years - In
addition respondent shall pay a amount to meet her needs for food and proper
upbringing - Writ petition is allowed in aforesaid terms

                                   "
" 26.12.2017

                          ",MANU/JK/0464/2017," Shyam Kumar Gupta
                                         "," State and Ors.

",COULD NOT FIND CASE NOTE
" 26.03.2021

                   ",MANU/GJ/0343/2021," Solingaben Himrajbhai Machhar
                                         "," State of Gujarat

",COULD NOT FIND CASE NOTE
" 22.12.2016

                            ",MANU/RH/1218/2016," T.C. Sadasukhi
                                        "," Medical Council of India and Ors.

","Service - Medical negligence - Writ Petition filed against direction to striking
off Petitioner's name from register of registered medical practitioners in State
for a period of eighteen months - Whether striking off Petitioner's name from
register of registered medical practitioners in State was in contravention of
Clause 7.16 of Regulations - Held, nothing substantial appeared to have been
done by MCI on request for transfer of complaint to itself -MCI appears to
have morphed complainant's then infructuous application for transfer of
matter from RMC to MCI which ought to have been rendered infructuous with
passing of order by RMC, treated it as appeal - It could not have been done by
MCI -Impugned order holding Petitioner guilty of medical negligence and
striking off his name from register of MCI for eighteen months did not reflect
any consideration of report prepared by Committee - MCI exonerated
Petitioner of allegation in a meeting - Writ Petition allowed. [13],[14],[17]
and[18]

                                      "
" 11.02.2011

         ",MANU/TN/0880/2011," Tamil Nadu Siddha Medical Graduates Association
                                      "," Indian Medical Association and Ors.

","Miscellaneous - Proffessional Misconduct - Proper Process - Indian Medical
Degrees (Madras Amendment) Act, 1940 - Present petition filed for writ in
nature   of  mandamus     to  forbear  Respondents    from   interfering  with
professional practice of members of Petitioner/association and from taking
action in name of Anti-quackery action against members of Petitioner's
association who are practicing their profession as per Regulations passed by
Central Council of Indian Medicine and as per Act - Held, if it was seen
Supreme Court that medical professionals must be saved from unjust
complaints of negligence or malpractice and safeguards should be made - No
blanket permission can be issued to police to arrest or to prosecute so-called
quacks identified by Respondent/Indian Medical Association - If Respondent
as guild association of Allopathic medical practitioners aggrieved by any
misconduct committed by other medical professionals governed by other
systems of medicines, they could make complaints to their professional bodies
under which those professionals registered as they have valid license and
could find remedies - It was only in case where they able to establish that
there persons masquerading as Doctors, then question of pressing into service
anti quackery act will come into play - It will enable them to take that person
to be prosecuted by legal methods - State Government realizing difficulties
was directed to approach respective council and Government for takingindividual
appropriate action - Since each of council was established by Parliament and
having statutory body to deal with such misconducts, it was appropriate that
those councils should be approached in case of any deviation in license to
practice - Respective councils could also decide whether members registered
under respective council had transgressed their limits under license
conditions which were issued under particular Act of Parliament - But at no
point of time, a person who was having valid degree and having registered
under an enactment could be directed to be proceeded by police by registering




     08-08-2022 (Page 1 of 19) www.manupatra.com       OP Jindal Global Universitya criminal case against them in criminal Court and that too at instance of an
Association like first Respondent which was not even statutory body, but
mere association of Doctors practicing under Allopath System of medicine -
Writ petition disposed of accordingly

                                        "
" 08.04.2016

               ",MANU/DE/0942/2016," The State Govt. of NCT of Delhi and Ors.
                                         "," Tanjeer Alam and Ors.

",COULD NOT FIND CASE NOTE
